ID,工作项类型,严重程度,标题,状态,负责人,截止日期,预估工时（小时）,已登记工时（小时）,剩余工时（小时）,重新打开-停留次数,创建者,创建时间,所属项目
#10499,缺陷,Critical,ST[TRI]切换driver state，不上报2类型的TRI报文,关闭,ying.xiong-HFSW,,0h,0h,0h,0,anna.kong-HFST,2024/2/28 10:35,GV300CAN_MOB
#10410,需求,,SW[BB-GV350CEU] add a <Reserved> in RESP:GTFRI [Machinestalk],RESOLVED,ying.xiong-HFSW,2024/2/29,0h,0h,0h,,penny.pei,2024/2/26 17:27,GV350CEU_MCT
#10376,缺陷,Critical,ST[DIS]查询配置，Ignition Validity Time为空,关闭,ying.xiong-HFSW,,0h,0h,0h,0,anna.kong-HFST,2024/2/26 11:05,GV300CAN_MOB
#10356,缺陷,Critical,ST[OUT]AT+GTOUT中参数Ignition On Restrict Output、Over Speed Restrict Output、Debounce Time未生效,关闭,ying.xiong-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2024/2/23 16:30,GV350CEU_MCT
#10122,FAE_BUG,,SW[GV58LAU] Camera photo buffer [TKontrol],RESOLVED,ying.xiong-HFSW,,0h,0h,0h,,felipe.mendez,2024/2/15 3:12,GV310LAU
#9976,需求,,SW[BB-GV350CEU] two new requirements from customer [Machinestalk],RESOLVED,ying.xiong-HFSW,2024/2/23,0h,0h,0h,,penny.pei,2024/2/5 9:29,GV350CEU_MCT
#9685,任务,,MOB项目ConfigOption与Word协议转RST文件,未开始,ying.xiong-HFSW,,0h,0h,0h,,ying.xiong-HFSW,2024/1/31 15:59,Protocol_Dev
#9625,FAE_BUG,,SW[GV350CEU_0314]Problems to update the BB_FW[Foton],关闭,ying.xiong-HFSW,,0h,0h,0h,,hector,2024/1/31 6:26,GV350CEU
#9449,缺陷,Major,"ST[GTIDA&GTBID]ID Validity Time为0,连续扫描到ID ELA或者WID310频繁上报IDA ID Report Type1和2报文",关闭,ying.xiong-HFSW,,8h,0h,8h,0,leon.zhou-HFST,2024/1/26 15:38,GV355CEU
#9396,缺陷,Major,ST[GTIDA]ID Validity Time为0，刷I-button或者DR102停止后，上报ID Report Type2报文存在延迟3s,关闭,ying.xiong-HFSW,,2h,0h,2h,0,leon.zhou-HFST,2024/1/25 16:04,GV355CEU
